name,path,sha,size,url,html_url,git_url,download_url,type,City,topic
  tidy data,  tidy data,a787cdbac64b9b8eb32168c70c33475a422e36e2,0,https://api.github.com/repos/rladies/meetup-presentations_lancaster/contents/2019-09-04-tidy-data?ref=master,https://github.com/rladies/meetup-presentations_lancaster/tree/master/2019-09-04-tidy-data,https://api.github.com/repos/rladies/meetup-presentations_lancaster/git/trees/a787cdbac64b9b8eb32168c70c33475a422e36e2,NA,dir,Lancaster,tidyverse
  rmarkdown,  rmarkdown,676e798d1afe7db22be9b0cc4a33b05357b26e17,0,https://api.github.com/repos/rladies/meetup-presentations_lancaster/contents/2020-02-05-rmarkdown?ref=master,https://github.com/rladies/meetup-presentations_lancaster/tree/master/2020-02-05-rmarkdown,https://api.github.com/repos/rladies/meetup-presentations_lancaster/git/trees/676e798d1afe7db22be9b0cc4a33b05357b26e17,NA,dir,Lancaster,rmarkdown
 shiny, shiny,5f06e9125d9d5738da2a0a5a3ecc22cf40be3ff7,0,https://api.github.com/repos/rladies/meetup-presentations_lausanne/contents/20180314_shiny?ref=master,https://github.com/rladies/meetup-presentations_lausanne/tree/master/20180314_shiny,https://api.github.com/repos/rladies/meetup-presentations_lausanne/git/trees/5f06e9125d9d5738da2a0a5a3ecc22cf40be3ff7,NA,dir,Lausanne,shiny
 rmarkdown, rmarkdown,edf998459cc3f4c3ad300063d0ac9f6e3dcd7551,0,https://api.github.com/repos/rladies/meetup-presentations_lausanne/contents/20181017_rmarkdown?ref=master,https://github.com/rladies/meetup-presentations_lausanne/tree/master/20181017_rmarkdown,https://api.github.com/repos/rladies/meetup-presentations_lausanne/git/trees/edf998459cc3f4c3ad300063d0ac9f6e3dcd7551,NA,dir,Lausanne,rmarkdown
 tidyverse, tidyverse,a19a5f7564ecdf27ecfca85446a7aefae7817d93,0,https://api.github.com/repos/rladies/meetup-presentations_lausanne/contents/20191203_tidyverse?ref=master,https://github.com/rladies/meetup-presentations_lausanne/tree/master/20191203_tidyverse,https://api.github.com/repos/rladies/meetup-presentations_lausanne/git/trees/a19a5f7564ecdf27ecfca85446a7aefae7817d93,NA,dir,Lausanne,tidyverse
 Novice Workshop, Novice Workshop,cbc8d8340b0bbb64e7a198ea913ab2bbe22af2df,0,https://api.github.com/repos/rladies/meetup-presentations_london/contents/2016-03_Novice_Workshop?ref=master,https://github.com/rladies/meetup-presentations_london/tree/master/2016-03_Novice_Workshop,https://api.github.com/repos/rladies/meetup-presentations_london/git/trees/cbc8d8340b0bbb64e7a198ea913ab2bbe22af2df,NA,dir,London,Intro
 Shiny, Shiny,3b948f016d46705ddb5e85d218b72b49b2db8642,0,https://api.github.com/repos/rladies/meetup-presentations_london/contents/2016-09_Shiny?ref=master,https://github.com/rladies/meetup-presentations_london/tree/master/2016-09_Shiny,https://api.github.com/repos/rladies/meetup-presentations_london/git/trees/3b948f016d46705ddb5e85d218b72b49b2db8642,NA,dir,London,shiny
  Make your own blog,  Make your own blog,0ee50068a9f38e19f785999bdad322a858acc60a,0,https://api.github.com/repos/rladies/meetup-presentations_london/contents/2017-04-26_Make_your_own_blog?ref=master,https://github.com/rladies/meetup-presentations_london/tree/master/2017-04-26_Make_your_own_blog,https://api.github.com/repos/rladies/meetup-presentations_london/git/trees/0ee50068a9f38e19f785999bdad322a858acc60a,NA,dir,London,blogdown
  R from scratch,  R from scratch,a396c8b023e9bd5f1ddb6e1ce0e15105900fb0a6,0,https://api.github.com/repos/rladies/meetup-presentations_london/contents/2017-10-19_R_from_scratch?ref=master,https://github.com/rladies/meetup-presentations_london/tree/master/2017-10-19_R_from_scratch,https://api.github.com/repos/rladies/meetup-presentations_london/git/trees/a396c8b023e9bd5f1ddb6e1ce0e15105900fb0a6,NA,dir,London,Intro
  R from scratch,  R from scratch,75def9c3df368d992305b670625284ed302417e4,0,https://api.github.com/repos/rladies/meetup-presentations_london/contents/2018-02-21-R_from_scratch?ref=master,https://github.com/rladies/meetup-presentations_london/tree/master/2018-02-21-R_from_scratch,https://api.github.com/repos/rladies/meetup-presentations_london/git/trees/75def9c3df368d992305b670625284ed302417e4,NA,dir,London,Intro
