name,path,sha,size,url,html_url,git_url,download_url,type,repo
R-Ladies_caret_20190205.Rmd,R-Ladies_caret_20190205.Rmd,66ec787ea1892c157de0533f29b18a8d76564135,8930,https://api.github.com/repos/rladies/meetup-presentations_stockholm/contents/R-Ladies_caret_20190205.Rmd?ref=master,https://github.com/rladies/meetup-presentations_stockholm/blob/master/R-Ladies_caret_20190205.Rmd,https://api.github.com/repos/rladies/meetup-presentations_stockholm/git/blobs/66ec787ea1892c157de0533f29b18a8d76564135,https://raw.githubusercontent.com/rladies/meetup-presentations_stockholm/master/R-Ladies_caret_20190205.Rmd,file,meetup-presentations_stockholm
R-Ladies_caret_20190205.docx,R-Ladies_caret_20190205.docx,dfcdcb85e03576998df2d5111e1799ff64e901a1,20528,https://api.github.com/repos/rladies/meetup-presentations_stockholm/contents/R-Ladies_caret_20190205.docx?ref=master,https://github.com/rladies/meetup-presentations_stockholm/blob/master/R-Ladies_caret_20190205.docx,https://api.github.com/repos/rladies/meetup-presentations_stockholm/git/blobs/dfcdcb85e03576998df2d5111e1799ff64e901a1,https://raw.githubusercontent.com/rladies/meetup-presentations_stockholm/master/R-Ladies_caret_20190205.docx,file,meetup-presentations_stockholm
R_Ladies_introductionToML(1).pdf,R_Ladies_introductionToML(1).pdf,57ac2ebabc62ef2853e6f29de563d9f14d3f4bf6,2233857,https://api.github.com/repos/rladies/meetup-presentations_stockholm/contents/R_Ladies_introductionToML(1).pdf?ref=master,https://github.com/rladies/meetup-presentations_stockholm/blob/master/R_Ladies_introductionToML(1).pdf,https://api.github.com/repos/rladies/meetup-presentations_stockholm/git/blobs/57ac2ebabc62ef2853e6f29de563d9f14d3f4bf6,https://raw.githubusercontent.com/rladies/meetup-presentations_stockholm/master/R_Ladies_introductionToML(1).pdf,file,meetup-presentations_stockholm
R_ladies_20190218.R,R_ladies_20190218.R,56bf6f851aad033a8bd3c8bda1cf4717804afb45,4766,https://api.github.com/repos/rladies/meetup-presentations_stockholm/contents/R_ladies_20190218.R?ref=master,https://github.com/rladies/meetup-presentations_stockholm/blob/master/R_ladies_20190218.R,https://api.github.com/repos/rladies/meetup-presentations_stockholm/git/blobs/56bf6f851aad033a8bd3c8bda1cf4717804afb45,https://raw.githubusercontent.com/rladies/meetup-presentations_stockholm/master/R_ladies_20190218.R,file,meetup-presentations_stockholm
Rmarkdown.zip,Rmarkdown.zip,032dc4a3ae561bc39f740d85abbd91b9d8024233,1894331,https://api.github.com/repos/rladies/meetup-presentations_stockholm/contents/Rmarkdown.zip?ref=master,https://github.com/rladies/meetup-presentations_stockholm/blob/master/Rmarkdown.zip,https://api.github.com/repos/rladies/meetup-presentations_stockholm/git/blobs/032dc4a3ae561bc39f740d85abbd91b9d8024233,https://raw.githubusercontent.com/rladies/meetup-presentations_stockholm/master/Rmarkdown.zip,file,meetup-presentations_stockholm
Shiny ada conference.pdf,Shiny ada conference.pdf,9728f9033e1aca7393ff2bedb9a453ac428d9631,406947,https://api.github.com/repos/rladies/meetup-presentations_stockholm/contents/Shiny%20ada%20conference.pdf?ref=master,https://github.com/rladies/meetup-presentations_stockholm/blob/master/Shiny%20ada%20conference.pdf,https://api.github.com/repos/rladies/meetup-presentations_stockholm/git/blobs/9728f9033e1aca7393ff2bedb9a453ac428d9631,https://raw.githubusercontent.com/rladies/meetup-presentations_stockholm/master/Shiny%20ada%20conference.pdf,file,meetup-presentations_stockholm
Supervised_classification.pdf,Supervised_classification.pdf,69ceb074ae3b34d242b048a8252010b113d8b066,22324804,https://api.github.com/repos/rladies/meetup-presentations_stockholm/contents/Supervised_classification.pdf?ref=master,https://github.com/rladies/meetup-presentations_stockholm/blob/master/Supervised_classification.pdf,https://api.github.com/repos/rladies/meetup-presentations_stockholm/git/blobs/69ceb074ae3b34d242b048a8252010b113d8b066,https://raw.githubusercontent.com/rladies/meetup-presentations_stockholm/master/Supervised_classification.pdf,file,meetup-presentations_stockholm
sim_dat.Rdata,sim_dat.Rdata,13dbd23886dfdf2157deb8e6e5d86c885d8dd64f,10616,https://api.github.com/repos/rladies/meetup-presentations_stockholm/contents/sim_dat.Rdata?ref=master,https://github.com/rladies/meetup-presentations_stockholm/blob/master/sim_dat.Rdata,https://api.github.com/repos/rladies/meetup-presentations_stockholm/git/blobs/13dbd23886dfdf2157deb8e6e5d86c885d8dd64f,https://raw.githubusercontent.com/rladies/meetup-presentations_stockholm/master/sim_dat.Rdata,file,meetup-presentations_stockholm
R Ladies Beginners December 2019.pptx,R Ladies Beginners December 2019.pptx,3ee691686e0f04061007871372719a89ffd6c70c,16530463,https://api.github.com/repos/rladies/meetup-presentations_tampa/contents/R%20Ladies%20Beginners%20December%202019.pptx?ref=master,https://github.com/rladies/meetup-presentations_tampa/blob/master/R%20Ladies%20Beginners%20December%202019.pptx,https://api.github.com/repos/rladies/meetup-presentations_tampa/git/blobs/3ee691686e0f04061007871372719a89ffd6c70c,https://raw.githubusercontent.com/rladies/meetup-presentations_tampa/master/R%20Ladies%20Beginners%20December%202019.pptx,file,meetup-presentations_tampa
R Ladies GitHub Presentation.pptx,R Ladies GitHub Presentation.pptx,653d5cad0f9dd59d90a28792b20e80b62fbb4443,650807,https://api.github.com/repos/rladies/meetup-presentations_tampa/contents/R%20Ladies%20GitHub%20Presentation.pptx?ref=master,https://github.com/rladies/meetup-presentations_tampa/blob/master/R%20Ladies%20GitHub%20Presentation.pptx,https://api.github.com/repos/rladies/meetup-presentations_tampa/git/blobs/653d5cad0f9dd59d90a28792b20e80b62fbb4443,https://raw.githubusercontent.com/rladies/meetup-presentations_tampa/master/R%20Ladies%20GitHub%20Presentation.pptx,file,meetup-presentations_tampa
R Markdown Tutorial - June 2019 PPoint.pptx,R Markdown Tutorial - June 2019 PPoint.pptx,176b6ee67aa2a83720089eb773d77b29c19ba1b2,1893914,https://api.github.com/repos/rladies/meetup-presentations_tampa/contents/R%20Markdown%20Tutorial%20-%20June%202019%20PPoint.pptx?ref=master,https://github.com/rladies/meetup-presentations_tampa/blob/master/R%20Markdown%20Tutorial%20-%20June%202019%20PPoint.pptx,https://api.github.com/repos/rladies/meetup-presentations_tampa/git/blobs/176b6ee67aa2a83720089eb773d77b29c19ba1b2,https://raw.githubusercontent.com/rladies/meetup-presentations_tampa/master/R%20Markdown%20Tutorial%20-%20June%202019%20PPoint.pptx,file,meetup-presentations_tampa
2016_12_13_1_Launch,2016_12_13_1_Launch,9f7bba3b2a62d13665b45d616939ce56d23ba604,0,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/contents/2016_12_13_1_Launch?ref=master,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2016_12_13_1_Launch,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/git/trees/9f7bba3b2a62d13665b45d616939ce56d23ba604,NA,dir,meetup-presentations_tbilisi
2016_12_13_2_read_handle_data,2016_12_13_2_read_handle_data,82257c9c6b8a1895806bbce8b91da99d123d602d,0,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/contents/2016_12_13_2_read_handle_data?ref=master,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2016_12_13_2_read_handle_data,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/git/trees/82257c9c6b8a1895806bbce8b91da99d123d602d,NA,dir,meetup-presentations_tbilisi
2016_12_22_3_data_types,2016_12_22_3_data_types,56d146a2d5cc7f2f474c29cfca33ec3c1a799de4,0,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/contents/2016_12_22_3_data_types?ref=master,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2016_12_22_3_data_types,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/git/trees/56d146a2d5cc7f2f474c29cfca33ec3c1a799de4,NA,dir,meetup-presentations_tbilisi
2017_01_26_5_dataviz,2017_01_26_5_dataviz,0e83ca9ebbfd5498125bea193472f5ebfc7c092e,0,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/contents/2017_01_26_5_dataviz?ref=master,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_01_26_5_dataviz,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/git/trees/0e83ca9ebbfd5498125bea193472f5ebfc7c092e,NA,dir,meetup-presentations_tbilisi
2017_02_09_6_scraping_data,2017_02_09_6_scraping_data,01235bacbdd237858a06e73b1ebe060aaeb0591a,0,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/contents/2017_02_09_6_scraping_data?ref=master,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_02_09_6_scraping_data,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/git/trees/01235bacbdd237858a06e73b1ebe060aaeb0591a,NA,dir,meetup-presentations_tbilisi
2017_02_23_7_Ttests,2017_02_23_7_Ttests,521cda3cd884bfdb036464de29e58c11db8a13b4,0,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/contents/2017_02_23_7_Ttests?ref=master,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_02_23_7_Ttests,https://api.github.com/repos/rladies/meetup-presentations_tbilisi/git/trees/521cda3cd884bfdb036464de29e58c11db8a13b4,NA,dir,meetup-presentations_tbilisi
