City,html_url,topic,language
Sandiego,https://github.com/rladies/meetup-presentations_sandiego/tree/master/2018-07-05_blogdown,blogdown,English
Sandiego,https://github.com/rladies/meetup-presentations_sandiego/tree/master/2018-10-23_web_scraping,Web scrapping,English
Sanfrancisco,https://github.com/rladies/meetup-presentations_sanfrancisco/tree/master/2019-02-07_Friendly_introduction_to_writing_a_R-Package,Package,English
Santabarbara,https://github.com/rladies/meetup-presentations_santabarbara/tree/gh-pages/2019_05_15_intro_to_tidyverse,tidyverse,English
Santarosa,https://github.com/rladies/meetup-presentations_santarosa/blob/master/R-Ladies%20-%20Presentaci%C3%B3n%20modelos%20mixtos_ITES.pptx,Modelling,Spanish
Stockholm,https://github.com/rladies/meetup-presentations_stockholm/blob/master/Rmarkdown.zip,rmarkdown,English
Tampa,https://github.com/rladies/meetup-presentations_tampa/blob/master/R%20Ladies%20GitHub%20Presentation.pptx,git,English
Tbilisi,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_01_26_5_dataviz,Data Vizualization,English
Tbilisi,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_02_09_6_scraping_data,Web scrapping,English
Tbilisi,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_10_23_Machine_learning,Machine learning,English
Tbilisi,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_11_04_CapeTown_dataviz,Data Vizualization,English
Tbilisi,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_11_22_package_development,Package,English
Tbilisi,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_12_14_datatypes_dplyr,dplyr,English
Tbilisi,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/r_package_nutsa,Package,English
Santarosa,https://github.com/rladies/meetup-presentations_santarosa/tree/master/TallerRMarkdown,rmarkdown,Spanish
Santarosa,https://github.com/rladies/meetup-presentations_santarosa/tree/master/RdesdeCero,Introduction,Spanish
Madrid,https://github.com/rladies/meetup-presentations_madrid/tree/master/madrid_2019_02_07_datatableIntro,datatable,Spanish
Madrid,https://github.com/rladies/meetup-presentations_madrid/tree/master/madrid_20190415_global-graph-celebration-day,graph,Spanish
